0.737	0.767	0.789
0.687	0.748	0.792
0.686	0.762	0.806
0.713	0.788	0.826
0.730	0.803	0.838
0.749	0.818	0.851
0.764	0.829	0.859
0.781	0.842	0.869
0.792	0.850	0.876
0.805	0.859	0.883
0.814	0.866	0.889
0.825	0.974	0.895
0.835	0.881	0.901
0.844	0.887	0.906
0.851	0.892	0.910
0.858	0.897	0.914
0.863	0.901	0.917
0.868	0.905	0.920
0.873	0.908	0.923
0.878	0.911	0.926
0.881	0.914	0.928
0.884	0.916	0.930
0.888	0.918	0.931
0.891	0.920	0.933
0.894 	0.923 	0.935 
0.896	0.924 	0.936 
0.898 	0.926 	0.937 
0.900 	0.927 	0.939 
0.902 	0.929 	0.940 
0.904 	0.930 	0.941 
0.906 	0.931 	0.942 
0.908 	0.933 	0.943 
0.910 	0.934 	0.944 
0.912 	0.935 	0.945 
0.914 	0.936 	0.946 
0.916 	0.938 	0.947 
0.917 	0.939 	0.948 
0.919 	0.940 	0.949 
0.920 	0.941 	0.950 
0.922 	0.942 	0.951 
0.923 	0.943 	0.951 
0.924 	0.944 	0.952 
0.926 	0.945 	0.953 
0.927 	0.945 	0.953 
0.928 	0.946 	0.954 
0.929 	0.947 	0.954 
0.929 	0.947 	0.955 
0.930	0.947	0.955

